age,default,balance,housing,loan,day,duration,campaign,pdays,previous,deposit
0.064935065,0,0.051603675,0,0,0.933333333,0.093872229,0,0.214026602,0.072727273,1
0.649350649,0,0.074966533,0,0,0.7,0.08767927,0,0.223700121,0.036363636,1
0.207792208,0,0.073004346,0,0,0.466666667,0.102998696,0.03125,0,0,1
0.220779221,0,0.180851259,0,0,0.2,0.159387223,0,0,0,1
0.272727273,0,0.128202307,0,0,0.933333333,0.068448501,0.09375,0,0,1
0.454545455,0,0.160917643,0,0,0.4,0.365710561,0.03125,0,0,1
0.454545455,0,0.036566357,1,0,0.466666667,0.215449804,0,0.408706167,0.054545455,1
0.207792208,0,0.071683996,0,0,0.1,0.23011734,0,0,0,1
0.103896104,0,0.054060993,1,0,0.966666667,0.071707953,0.03125,0,0,1
0.545454545,0,0.037776677,0,0,0.333333333,0.104628422,0.03125,0.220072551,0.145454545,1
0.12987013,0,0.059250701,1,0,0.833333333,0.018578879,0,0,0,1
0.25974026,0,0.072105775,0,0,0.866666667,0.050847458,0.03125,0.158403869,0.036363636,1
0.402597403,0,0.059690818,1,0,0.233333333,0.262385919,0,0,0,1
0.779220779,0,0.09468009,0,0,0.766666667,0.046610169,0,0,0,1
0.25974026,0,0.129449304,1,0,0.033333333,0.101043025,0,0.116082225,0.127272727,1
0.142857143,0,0.046138893,0,0,0.5,0.099739244,0,0.237001209,0.018181818,1
0.142857143,0,0.089838807,0,0,0.933333333,0.071056063,0.03125,0,0,1
0.467532468,0,0.035649447,0,0,0.733333333,0.065514993,0,0,0,1
0.051948052,0,0.052098806,1,0,0.1,0.040743155,0.09375,0,0,1
0.467532468,0,0.10889219,0,1,0.633333333,0.191329857,0.03125,0.22732769,0.036363636,1
0.324675325,0,0.045166969,0,0,0.633333333,0.314537158,0.03125,0,0,1
0.220779221,0,0.039097027,1,0,0.5,0.021838331,0.0625,0.243047158,0.090909091,1
0.142857143,0,0.040509068,0,0,0.7,0.157431551,0,0,0,1
0.155844156,0,0.086372889,0,0,0.666666667,0.269230769,0,0,0,1
